time_ams,time,epex_price,tennet_short,tennet_long
2021-01-02 19:30:00+01:00,2021-01-02 19:30:00,62.17,37.25,37.25
2021-01-02 19:45:00+01:00,2021-01-02 19:45:00,62.17,39.25,39.25
2021-01-02 20:00:00+01:00,2021-01-02 20:00:00,60.03,68.35,68.35
2021-01-02 20:15:00+01:00,2021-01-02 20:15:00,60.03,46.25,46.25
2021-01-02 20:30:00+01:00,2021-01-02 20:30:00,60.03,34.25,34.25
2021-01-02 20:45:00+01:00,2021-01-02 20:45:00,60.03,32.09,32.09
2021-01-02 21:00:00+01:00,2021-01-02 21:00:00,55.03,45.28,37.49
2021-01-02 21:15:00+01:00,2021-01-02 21:15:00,55.03,43.05,43.05
2021-01-02 21:30:00+01:00,2021-01-02 21:30:00,55.03,43.05,43.05
2021-01-02 21:45:00+01:00,2021-01-02 21:45:00,55.03,41.03,41.03
2021-01-02 22:00:00+01:00,2021-01-02 22:00:00,52.25,37.25,37.25
2021-01-02 22:15:00+01:00,2021-01-02 22:15:00,52.25,39.12,39.12
2021-01-02 22:30:00+01:00,2021-01-02 22:30:00,52.25,31.25,31.25
2021-01-02 22:45:00+01:00,2021-01-02 22:45:00,52.25,37.9,37.9
2021-01-02 23:00:00+01:00,2021-01-02 23:00:00,48.45,29.59,29.59
2021-01-02 23:15:00+01:00,2021-01-02 23:15:00,48.45,36.03,36.03
2021-01-02 23:30:00+01:00,2021-01-02 23:30:00,48.45,37.09,37.09
2021-01-02 23:45:00+01:00,2021-01-02 23:45:00,48.45,46.25,39.25
2021-01-03 00:00:00+01:00,2021-01-03 00:00:00,46.11,19.25,19.25
2021-01-03 00:15:00+01:00,2021-01-03 00:15:00,46.11,21.5,21.5
2021-01-03 00:30:00+01:00,2021-01-03 00:30:00,46.11,22.0,22.0
2021-01-03 00:45:00+01:00,2021-01-03 00:45:00,46.11,50.17,50.17
2021-01-03 01:00:00+01:00,2021-01-03 01:00:00,43.0,22.47,22.47
2021-01-03 01:15:00+01:00,2021-01-03 01:15:00,43.0,26.25,26.25
2021-01-03 01:30:00+01:00,2021-01-03 01:30:00,43.0,3.0,3.0
2021-01-03 01:45:00+01:00,2021-01-03 01:45:00,43.0,18.0,18.0
2021-01-03 02:00:00+01:00,2021-01-03 02:00:00,39.55,43.42,43.42
2021-01-03 02:15:00+01:00,2021-01-03 02:15:00,39.55,37.17,37.17
2021-01-03 02:30:00+01:00,2021-01-03 02:30:00,39.55,34.67,34.67
2021-01-03 02:45:00+01:00,2021-01-03 02:45:00,39.55,29.67,29.67
2021-01-03 03:00:00+01:00,2021-01-03 03:00:00,45.3,137.3,137.3
2021-01-03 03:15:00+01:00,2021-01-03 03:15:00,45.3,19.25,19.25
